name,url,description,duration,remote_support,adaptive_support,test_type
360 Digital Report,https://www.shl.com/products/product-catalog/view/360-digital-report,"Introducing the new 360 Digital Report from SHL! Our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern user's needs for enhanced usability and actionable insights. With a sleek, interactive interface, this report provides a exploration of feedback data, focusing on user development and comprehensive evaluation. Users can now enjoy a visually engaging experience, with the capability to download the report in PDF format for offline access. Upgrade your reporting experience today with SHL's innovative 360 Digital Report!",Not Available,No,No,Development & 360
360° Multi-Rater Feedback System (MFS),https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs,"SHL 360, or the Multi-Rater Feedback System (‘MFS’), provides a holistic 360-degree view of an employee by gathering feedback from the employee’s manager, peers, direct reports, and/or other raters. By offering a wide range of perspectives, 360 feedback gives employees a more thorough understanding of not only their strengths, weaknesses, and development opportunities, but also their impact on others. 360-degree multi-rater assessments are based on SHL’s Universal Competency Framework (“UCF”), using our proven library of research-driven competencies to provide opportunities for managers, peers, and direct reports to supply useful developmental feedback that they may not otherwise share. SHL can also offer support and training throughout the entire process, from defining objectives through interpreting and delivering the feedback. 360 feedback serves all levels and industries and is a positive and powerful addition to your performance management system.",Not Available,No,No,Development & 360 | Personality & Behavior
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.",Not Available,No,No,Competencies | Personality & Behavior | Ability & Aptitude
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",Not Available,No,No,Knowledge & Skills
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new,Simulated data entry test that measures the ability to process payables and vendor invoices.,Not Available,No,No,Simulations
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new,Multiple-choice test that measures the knowledge of processing receivables and invoices.,Not Available,No,No,Knowledge & Skills
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new,Simulated data entry test that measures the ability to process receivables and invoices.,Not Available,No,No,Simulations
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",Not Available,No,No,Ability & Aptitude | Knowledge & Skills | Personality & Behavior
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",Not Available,No,No,Knowledge & Skills
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",Not Available,No,No,Knowledge & Skills
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",Not Available,No,No,Knowledge & Skills
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",Not Available,No,No,Knowledge & Skills
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",Not Available,No,No,Knowledge & Skills
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department. Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Simulations
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",7 minutes,No,No,Knowledge & Skills
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",Not Available,No,No,Knowledge & Skills
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,Not Available,No,No,Personality & Behavior
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",Not Available,No,No,Knowledge & Skills
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",Not Available,No,No,Knowledge & Skills
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",Not Available,No,No,Knowledge & Skills
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",Not Available,No,No,Knowledge & Skills
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",Not Available,No,No,Knowledge & Skills
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",Not Available,No,No,Knowledge & Skills
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",Not Available,No,No,Knowledge & Skills
